Time,Video Title,Video Link,Posted Date,Likes,Comments,Shares,Video Views,Completion Rate,Saves,Save Rate,Share Rate,Engagement Rate,Category
13. Februar,"You don't need 47 random colors. You need one proper scale.  HSL method: → Start with base at 500 e.g. hsl(230, 77%, 50%) → Define edges: 900 (darkest) & 100 (lightest) → Keep same hue, adjust lightness & saturation → Fill the gaps Don't trust numbers  check contrast in real UI. If it feels off, rotate the hue slightly. HSL = structure Your eyes = final decision #colortheory #uiuxdesign #designtips #graphicdesign    Day 3 of the #squibbchallenge @Simon Squibb ",https://www.tiktok.com/@designparser/video/7584844219630636310,2025-12-17,2696,10,99,40438,7.4509125080369945,247.5,0.612048073594144,0.24481922943765766,7.548592907661112,Color
13. Februar,Linear scales fail. Non-linear scales work. Two popular methods: → Modular (e.g. ×1.25) → Fibonacci (13→21→34) Growing gaps create hierarchy. Tools: typescale.com | modularscale.com #typography #uiuxdesign #designtips #graphicdesign   Day 4 of #squibbchallenge ,https://www.tiktok.com/@designparser/video/7585284449353403670,2025-12-18,2025,5,107,27729,8.496519888924952,267.5,0.9646940026686862,0.3858776010674745,8.671427025857406,Typography
13. Februar,"Stop the color chaos! Use the 60-30-10 Rule for pro designs. It’s the visual secret behind Spotify & Netflix. ~ 60% Neutral  ~ 30% Secondary  ~ 10% Accent Save this for your next project! What is your favorite design principle? #squibbchallenge #uiux #colortheory #designrules #designsystem   Day 1, @Simon Squibb",https://www.tiktok.com/@designparser/video/7584082295934569760,2025-12-15,1492,4,64,25820,6.553059643687065,160.0,0.6196746707978312,0.24786986831913244,6.661502711076685,Color
13. Februar,"Blank screens feel slow because they give no feedback. Skeletons provide structure, reduce uncertainty and can feel up to ~50% faster at the same load time. Users form judgments within seconds. Loading states must match duration and context. Perceived performance is a design decision. Day 22 of #squibbchallenge  #uidesign #perceivedperformance #loadingstates #interactiondesign ",https://www.tiktok.com/@designparser/video/7591999931443940630,2026-01-05,1078,9,50,23394,5.326152004787552,125.0,0.5343250406087031,0.21373001624348126,5.3945456099854665,Performance
13. Februar,"Pure Black (#/000000) is Killing Your Design!  On screens, it creates harsh contrast and strains the eyes. That's why big players like Spotify and Netflix use Near Black instead. The Trade-Off: Choose Impact (Apple) or Comfort (Netflix)? Near Black is calmer, more refined, and better for UX. #uiuxdesign  #designtips  #colortheory #graphicdesign   Day 2 of the #squibbchallenge ",https://www.tiktok.com/@designparser/video/7584429985130220832,2025-12-16,819,7,5,22678,3.7393068171796453,12.5,0.05511949907399242,0.022047799629596968,3.7194637975130083,Color
13. Februar,Bad spacing kills readability.  Line height is the vertical space between lines of text and getting it right changes everything. Here's a quick guideline: - Body text? 1.5–1.6 - Headings? 1.2 - Small print? 1.6–1.7 How do you handle line height? Day 5 of #squibbchallenge  #lineheight #typography #graphicdesign #uidesign ,https://www.tiktok.com/@designparser/video/7585669280163712278,2025-12-19,996,5,65,15470,7.7634130575307045,162.5,1.050420168067227,0.42016806722689076,7.941176470588235,Typography
13. Februar,Border radius needs rules. Pick a base unit. Scale proportionally. Inner radius = outer radius - padding. Small components = tight radius. Document it. Use it everywhere. Day 7 of #squibbchallenge  #borderradius #designsystems #uidesign #graphicdesign,https://www.tiktok.com/@designparser/video/7586455330813480214,2025-12-22,848,0,59,13320,7.695195195195195,147.5,1.1073573573573574,0.4429429429429429,7.916666666666666,Components
13. Februar,"Grids are the invisible bones of design. Stop guessing. Start structuring. Manuscript Grid = One column. Pure focus. (Articles, books - uninterrupted text flow) Column Grid = Vertical rhythm. (Newspapers, blogs - content in clean lanes) Modular Grid = Rows + columns. (Magazines, dashboards - complex interfaces) Hierarchical Grid = Break rules with intention. (Hero sections, landing pages - guide attention) Design is not decoration. It's controlled order. Day 9 of #squibbchallenge #gridsystems #uidesign #uxdesign #designprinciples",https://www.tiktok.com/@designparser/video/7587058135047687446,2025-12-23,748,1,32,11683,7.24129076435847,80.0,0.6847556278353163,0.27390225113412653,7.369682444577591,Layout
13. Februar,"One primary button per screen. That's the rule. Most interfaces break this. Multiple CTAs compete for attention.  Result? Decision paralysis. Primary commits. Secondary offers choice. Placement = information. Put your CTA where users finish their task, not floating in a corner. Buttons need 5 states: Normal. Hover. Focus. Active. Disabled. Links are not buttons. Don't make them think. How many button states do you design?  Day 30 of #squibbchallenge #uidesign #uxdesign #productdesign #designsystems ",https://www.tiktok.com/@designparser/video/7594923095039757590,2026-01-13,568,0,33,10947,6.092993514204805,82.5,0.7536311318169361,0.30145245272677446,6.243719740568192,Navigation
13. Februar,"Your static progress bars create loading anxiety during active processes. Animation signals active loading, static bars indicate completion or paused state. The goal-gradient effect proves motivation peaks at 80% as users perceive the remaining distance shrinking rapidly. Do you use determinate or indeterminate loaders for unknown durations? #uidesigntips #progressbar #uxdesign #loadingstate #interfacedesign",https://www.tiktok.com/@designparser/video/7600924522342141206,2026-01-30,389,0,10,9897,4.23360614327574,25.0,0.25260179852480547,0.1010407194099222,4.284126502980701,Performance
13. Februar,Jakob's Law: Users spend 95% of their time on other sites. Familiar patterns = instant comfort. Creative navigation = cognitive overload. Your logo goes top-left. Search goes top-right. Because that's where users already look. Don't innovate the interface. Innovate the value. Good design feels invisible. What's one pattern you'll never break? Day 13 of #squibbchallenge  #jakobslaw #uxdesign #uidesign #usability ,https://www.tiktok.com/@designparser/video/7588649092583099671,2025-12-27,462,1,18,9793,5.2894924946390285,45.0,0.45951189625242517,0.18380475850097008,5.371183498417237,Layout
13. Februar,"Why do most websites follow the same layout?  F-Pattern. One of three major scan patterns. Eye-tracking reveals: → F-Pattern: Content-heavy pages (blogs, news) → Z-Pattern: Landing pages, simple layouts → Layer Cake: Scanning between headers When F-Pattern applies: • Text-heavy content • Multiple sections • Left-to-right reading cultures The Rules: • Top-left = Prime attention • First words of lines = Critical • Users scan, don't read The Reality: Wrong pattern for your content type = ignored content. Match your layout to user behavior.  Day 14 of #squibbchallenge  #fpattern #eyetracking #uxpatterns #designengineering ",https://www.tiktok.com/@designparser/video/7588981010197695747,2025-12-28,462,1,13,9678,5.197354825377144,32.5,0.33581318454226083,0.13432527381690432,5.2541847489150655,Layout
